id,value
t1-cars-car-136,7
t1-cars-car-136/bin,0
t1-cars-car-136/bin/dash,1
t1-cars-car-136/bin/journalctl,1
t1-cars-car-136/lib/modules,0
t1-cars-car-136/lib,0
t1-cars-car-136/lib/systemd,0
t1-cars-car-136/lib/udev,0
t1-cars-car-136/lib/x86_64-linux-gnu,0
t1-cars-car-136/lib/x86_64-linux-gnu/security,0
t1-cars-car-136/opt/splunkforwarder/bin,0
t1-cars-car-136/opt/splunkforwarder,0
t1-cars-car-136/opt,0
t1-cars-car-136/opt/splunkforwarder/etc,0
t1-cars-car-136/opt/splunkforwarder/etc/apps/Splunk_TA_stream/linux_x86_64/bin,0
t1-cars-car-136/opt/splunkforwarder/etc/apps/Splunk_TA_stream/linux_x86_64,0
t1-cars-car-136/opt/splunkforwarder/etc/apps/Splunk_TA_stream
t1-cars-car-136/lib/modules/4.15.0-1023-gcp,0
t1-cars-car-136/lib/modules/4.15.0-1023-gcp/modules.alias.bin,1
t1-cars-car-136/lib/modules/4.15.0-1023-gcp/modules.builtin.bin,1
t1-cars-car-136/lib/modules/4.15.0-1023-gcp/modules.dep.bin,1
t1-cars-car-136/lib/modules/4.15.0-1023-gcp/modules.symbols.bin,1
t1-cars-car-136/lib/systemd/libsystemd-shared-237.so,3
t1-cars-car-136/lib/systemd/systemd,1
t1-cars-car-136/lib/systemd/systemd-journald,1
t1-cars-car-136/lib/systemd/systemd-logind,1
t1-cars-car-136/lib/systemd/systemd-networkd,1
t1-cars-car-136/lib/systemd/systemd-resolved,1
t1-cars-car-136/lib/systemd/systemd-udevd,1
t1-cars-car-136/lib/udev/hwdb.bin,1
t1-cars-car-136/lib/x86_64-linux-gnu/ld-2.27.so,7
t1-cars-car-136/lib/x86_64-linux-gnu/libacl.so.1.1.0,3
t1-cars-car-136/lib/x86_64-linux-gnu/libapparmor.so.1.4.2,2
t1-cars-car-136/lib/x86_64-linux-gnu/libattr.so.1.1.0,3
t1-cars-car-136/lib/x86_64-linux-gnu/libaudit.so.1.0.0,3
t1-cars-car-136/lib/x86_64-linux-gnu/libblkid.so.1.1.0,3
t1-cars-car-136/lib/x86_64-linux-gnu/libbz2.so.1.0.4,1
t1-cars-car-136/lib/x86_64-linux-gnu/libc-2.27.so,7
t1-cars-car-136/lib/x86_64-linux-gnu/libcap-ng.so.0.0.0,3
t1-cars-car-136/lib/x86_64-linux-gnu/libcap.so.2.25,4
t1-cars-car-136/lib/x86_64-linux-gnu/libcom_err.so.2.1,1
t1-cars-car-136/lib/x86_64-linux-gnu/libcrypt-2.27.so,1
t1-cars-car-136/lib/x86_64-linux-gnu/libcryptsetup.so.12.2.0,3
t1-cars-car-136/lib/x86_64-linux-gnu/libdbus-1.so.3.19.4,2
t1-cars-car-136/lib/x86_64-linux-gnu/libdevmapper.so.1.02.1,3
t1-cars-car-136/lib/x86_64-linux-gnu/libdl-2.27.so,7
t1-cars-car-136/lib/x86_64-linux-gnu/libexpat.so.1.6.7,2
t1-cars-car-136/lib/x86_64-linux-gnu/libfuse.so.2.9.7,1
t1-cars-car-136/lib/x86_64-linux-gnu/libgcc_s.so.1,1
t1-cars-car-136/lib/x86_64-linux-gnu/libgcrypt.so.20.2.1,5
t1-cars-car-136/lib/x86_64-linux-gnu/libgpg-error.so.0.22.0,5
t1-cars-car-136/lib/x86_64-linux-gnu/libidn.so.11.6.16,3
t1-cars-car-136/lib/x86_64-linux-gnu/libjson-c.so.3.0.1,3
t1-cars-car-136/lib/x86_64-linux-gnu/libkeyutils.so.1.5,1
t1-cars-car-136/lib/x86_64-linux-gnu/libkmod.so.2.3.2,1
t1-cars-car-136/lib/x86_64-linux-gnu/liblzma.so.5.2.2,5
t1-cars-car-136/lib/x86_64-linux-gnu/libm-2.27.so,4
t1-cars-car-136/lib/x86_64-linux-gnu/libmnl.so.0.2.0,1
t1-cars-car-136/lib/x86_64-linux-gnu/libmount.so.1.1.0,1
t1-cars-car-136/lib/x86_64-linux-gnu/libnsl-2.27.so,7
t1-cars-car-136/lib/x86_64-linux-gnu/libnss_compat-2.27.so,7
t1-cars-car-136/lib/x86_64-linux-gnu/libnss_dns-2.27.so,2
t1-cars-car-136/lib/x86_64-linux-gnu/libnss_files-2.27.so,7
t1-cars-car-136/lib/x86_64-linux-gnu/libnss_nis-2.27.so,7
t1-cars-car-136/lib/x86_64-linux-gnu/libnss_systemd.so.2,3
t1-cars-car-136/lib/x86_64-linux-gnu/libpam.so.0.83.1,2
t1-cars-car-136/lib/x86_64-linux-gnu/libpam_misc.so.0.82.0,1
t1-cars-car-136/lib/x86_64-linux-gnu/libpcre.so.3.13.3,5
t1-cars-car-136/lib/x86_64-linux-gnu/libpthread-2.27.so,7
t1-cars-car-136/lib/x86_64-linux-gnu/libreadline.so.7.0,1
t1-cars-car-136/lib/x86_64-linux-gnu/libresolv-2.27.so,2
t1-cars-car-136/lib/x86_64-linux-gnu/librt-2.27.so,5
t1-cars-car-136/lib/x86_64-linux-gnu/libseccomp.so.2.3.1,4
t1-cars-car-136/lib/x86_64-linux-gnu/libselinux.so.1,5
t1-cars-car-136/lib/x86_64-linux-gnu/libsystemd.so.0.21.0,3
t1-cars-car-136/lib/x86_64-linux-gnu/libtinfo.so.5.9,1
t1-cars-car-136/lib/x86_64-linux-gnu/libudev.so.1.6.9,3
t1-cars-car-136/lib/x86_64-linux-gnu/libutil-2.27.so,1
t1-cars-car-136/lib/x86_64-linux-gnu/libuuid.so.1.3.0,4
t1-cars-car-136/lib/x86_64-linux-gnu/libwrap.so.0.7.6,1
t1-cars-car-136/lib/x86_64-linux-gnu/libz.so.1.2.11,2
t1-cars-car-136/lib/x86_64-linux-gnu/security/pam_cap.so,1
t1-cars-car-136/lib/x86_64-linux-gnu/security/pam_deny.so,1
t1-cars-car-136/lib/x86_64-linux-gnu/security/pam_limits.so,1
t1-cars-car-136/lib/x86_64-linux-gnu/security/pam_loginuid.so,1
t1-cars-car-136/lib/x86_64-linux-gnu/security/pam_permit.so,1
t1-cars-car-136/lib/x86_64-linux-gnu/security/pam_selinux.so,1
t1-cars-car-136/lib/x86_64-linux-gnu/security/pam_systemd.so,1
t1-cars-car-136/lib/x86_64-linux-gnu/security/pam_umask.so,1
t1-cars-car-136/lib/x86_64-linux-gnu/security/pam_unix.so,1
t1-cars-car-136/mnt,1
t1-cars-car-136/opt/splunkforwarder/bin/splunkd,1
t1-cars-car-136/opt/splunkforwarder/etc/apps,1